"geom","setting","input","value","quoted","placeholder","group"
"geom_contour","lineend","select","round,butt,square",TRUE,"",NA
"geom_path","linejoin","select","round,mitre,bevel",TRUE,"",NA
"geom_contour","linejoin","select","round,mitre,bevel",TRUE,"",NA
"geom_density2d","linejoin","select","round,mitre,bevel",TRUE,"",NA
"geom_density_2d","linejoin","select","round,mitre,bevel",TRUE,"",NA
"geom_quantile","linejoin","select","round,mitre,bevel",TRUE,"",NA
"stat_quantile","linejoin","select","round,mitre,bevel",TRUE,"",NA
"geom_path","linemitre","numeric","1",FALSE,"",NA
"geom_contour","linemitre","numeric","1",FALSE,"",NA
"geom_denisty2d","linemitre","numeric","1",FALSE,"",NA
"geom_density_2d","linemitre","numeric","1",FALSE,"",NA
"geom_quantile","linemitre","numeric","1",FALSE,"",NA
"geom_path","arrow","text","",FALSE,"arrow()",NA
"geom_segment","arrow","text","",FALSE,"arrow()",NA
"geom_curve","arrow","text","",FALSE,"arrow()",NA
"geom_step","direction","select","hv,vh",TRUE,"",NA
"geom_smooth","method","select","auto,lm,glm,gam,loess,rlm",TRUE,"",NA
"stat_smooth","method","select","auto,lm,glm,gam,loess,rlm",TRUE,"",NA
"geom_smooth","formula","text","y~x",FALSE,"",NA
"stat_smooth","formula","text","y~x",FALSE,"",NA
"geom_smooth","se","checkbox","TRUE",FALSE,"",NA
"stat_smooth","se","checkbox","TRUE",FALSE,"",NA
"facet_wrap","scales","select","fixed,free_x,free_y,free",TRUE,NA,NA
"facet_grid","scales","select","fixed,free_x,free_y,free",TRUE,NA,NA
"facet_wrap","nrow","text","",FALSE,"NULL",NA
"facet_wrap","ncol","text","",FALSE,"NULL",NA
"facet_grid","space","select","fixed,free_x,free_y,free",TRUE,"",NA
"facet_grid","margins","checkbox","FALSE",FALSE,NA,NA
"facet_wrap","labeller","select","label_value,label_both,label_context,label_parsed",TRUE,"",NA
"geom_text","parse","checkbox","FALSE",FALSE,"",NA
"geom_label","parse","checkbox","FALSE",FALSE,"",NA
"geom_text","nudge_x","numeric","0",FALSE,"",NA
"geom_label","nudge_x","numeric","0",FALSE,"",NA
"geom_text","nudge_y","numeric","0",FALSE,"",NA
"geom_label","nudge_y","numeric","0",FALSE,"",NA
"geom_text","check_overlap","checkbox","FALSE",FALSE,"",NA
"stat_bin_2d","bins","text","30",FALSE,"",NA
"geom_contour","bins","text","30",FALSE,"",NA
"geom_hex","bins","text","30",FALSE,"",NA
"stat_bin_hex","bins","text","30",FALSE,"",NA
"geom_bin2d","binwidth","text","",FALSE,"",NA
"stat_bin_2d","binwidth","text","",FALSE,"",NA
"geom_contour","binwidth","text","",FALSE,"",NA
"geom_histogram","binwidth","text","",FALSE,"",NA
"stat_bin","binwidth","text","",FALSE,"",NA
"geom_freqpoly","binwidth","text","",FALSE,"",NA
"geom_bar","width","text","",FALSE,"",NA
"geom_col","width","text","",FALSE,"",NA
"stat_count","width","text","",FALSE,"",NA
"geom_boxplot","outlier.colour","text","",TRUE,"",NA
"geom_boxplot","outlier.fill","text","",TRUE,"",NA
"geom_boxplot","outlier.shape","numeric","19",FALSE,"",NA
"geom_boxplot","outlier.size","numeric","1.5",FALSE,"",NA
"geom_boxplot","outlier.stroke","numeric","0.5",FALSE,"",NA
"geom_boxplot","outlier.alpha","numeric","1",FALSE,"",NA
"geom_boxplot","notch","checkbox","FALSE",FALSE,"",NA
"geom_boxplot","notchwidth","numeric","0.5",FALSE,"",NA
"geom_boxplot","varwidth","checkbox","FALSE",FALSE,"",NA
"geom_crossbar","fatten","numeric","2.5",FALSE,"",NA
"geom_pointrange","fatten","numeric","4",FALSE,"",NA
"geom_segment","lineend","select","butt,round,square",TRUE,"",NA
"geom_curve","lineend","select","butt,round,square",TRUE,"",NA
"geom_density_2d","lineend","select","butt,round,square",TRUE,"",NA
"geom_density2d","lineend","select","butt,round,square",TRUE,"",NA
"geom_path","lineend","select","butt,round,square",TRUE,"",NA
"geom_quantile","lineend","select","butt,round,square",TRUE,"",NA
"stat_quantile","lineend","select","butt,round,square",TRUE,"",NA
"geom_curve","curvature","numeric","0.5",FALSE,"",NA
"geom_curve","angle","numeric","90",FALSE,"",NA
"geom_curve","ncp","numeric","5",FALSE,"",NA
"stat_density","bw","select","nrd0,nrd,ucv,bcv,SJ",TRUE,"",NA
"geom_density","bw","select","nrd0,nrd,ucv,bcv,SJ",TRUE,"",NA
"geom_violin","bw","select","nrd0,nrd,ucv,bcv,SJ",TRUE,"",NA
"stat_ydensity","bw","select","nrd0,nrd,ucv,bcv,SJ",TRUE,"",NA
"stat_density","adjust","numeric","1",FALSE,"",NA
"geom_density","adjust","numeric","1",FALSE,"",NA
"geom_violin","adjust","numeric","1",FALSE,"",NA
"stat_ydensity","adjust","numeric","1",FALSE,"",NA
"stat_density","kernel","select","gaussian,epanechnikov,rectangular,triangular,biweight,cosine,optcosine",TRUE,"",NA
"geom_density","kernel","select","gaussian,epanechnikov,rectangular,triangular,biweight,cosine,optcosine",TRUE,"",NA
"geom_violin","kernel","select","gaussian,epanechnikov,rectangular,triangular,biweight,cosine,optcosine",TRUE,"",NA
"stat_ydensity","kernel","select","gaussian,epanechnikov,rectangular,triangular,biweight,cosine,optcosine",TRUE,"",NA
"stat_density","n","numeric","512",FALSE,"",NA
"geom_density","n","numeric","512",FALSE,"",NA
"geom_density","trim","checkbox","FALSE",FALSE,"",NA
"stat_density","trim","checkbox","FALSE",FALSE,"",NA
"stat_density_2d","contour","checkbox","TRUE",FALSE,"",NA
"stat_density_2d","n","numeric","100",FALSE,"",NA
"stat_density_2d","h","text","",FALSE,"",NA
"geom_dotplot","binwidth","text","",FALSE,"",NA
"geom_hex","binwidth","text","",FALSE,"",NA
"stat_bin_hex","binwidth","text","",FALSE,"",NA
"geom_dotplot","binaxis","select","x,y",TRUE,"",NA
"geom_dotplot","method","select","dotdensity,histodot",TRUE,"",NA
"geom_dotplot","binpositions","select","bygroup,all",TRUE,"",NA
"geom_dotplot","stackdir","select","up,down,center,centerwhole",TRUE,"",NA
"geom_dotplot","stackratio","numeric","1",FALSE,"",NA
"geom_dotplot","dotsize","numeric","1",FALSE,"",NA
"geom_dotplot","stackgroups","checkbox","FALSE",FALSE,"",NA
"geom_dotplot","origin","text","",FALSE,"",NA
"geom_dotplot","right","checkbox","TRUE",FALSE,"",NA
"geom_dotplot","width","numeric","0.9",FALSE,"",NA
"stat_bin","bins","text","",FALSE,"",NA
"geom_freqpoly","bins","text","",FALSE,"",NA
"geom_histogram","bins","text","",FALSE,"",NA
"stat_bin","center","text","",FALSE,"",NA
"geom_freqpoly","center","text","",FALSE,"",NA
"geom_histogram","center","text","",FALSE,"",NA
"stat_bin","boundary","text","",FALSE,"",NA
"geom_freqpoly","boundary","text","",FALSE,"",NA
"geom_histogram","boundary","text","",FALSE,"",NA
"stat_bin","breaks","text","",FALSE,"",NA
"geom_freqpoly","breaks","text","",FALSE,"",NA
"geom_histogram","breaks","text","",FALSE,"",NA
"stat_bin","closed","select","right,left",TRUE,"",NA
"geom_freqpoly","closed","select","right,left",TRUE,"",NA
"geom_histogram","closed","select","right,left",TRUE,"",NA
"stat_bin","pad","checkbox","FALSE",FALSE,"",NA
"geom_freqpoly","pad","checkbox","FALSE",FALSE,"",NA
"geom_histogram","pad","checkbox","FALSE",FALSE,"",NA
"geom_jitter","width","numeric","0.4",FALSE,"",NA
"geom_jitter","height","numeric","0.4",FALSE,"",NA
