"geom","var","default"
"geom_point,geom_path,geom_line,geom_step,geom_ribbon,geom_area,geom_blank,geom_crossbar,geom_errorbar,geom_errorbarh,geom_linerange,geom_pointrange,geom_segment,geom_curve","stat","identity"
"geom_point,geom_smooth,geom_path,geom_line,geom_step,geom_ribbon,geom_bin2d,stat_bin_2d,geom_blank,geom_contour,stat_contour,geom_count,stat_sum,geom_crossbar,geom_errorbar,geom_linerange,geom_pointrange,geom_segment,geom_curve,geom_density","position","identity"
"geom_smooth","stat","smooth"
"geom_area,geom_bar,geom_col,stat_count,stat_density,geom_histogram,stat_bin","position","stack"
"geom_bar","stat","count"
"stat_count,stat_bin","geom","bar"
"stat_smooth","geom","smooth"
"geom_text,geom_label","stat","identity"
"geom_text,geom_label","position","identity"
"geom_bin2d","stat","bin2d"
"stat_bin_2d","geom","tile"
"geom_boxplot","stat","boxplot"
"stat_boxplot","geom","boxplot"
"geom_boxplot,stat_boxplot,geom_violin,stat_ydensity","position","dodge"
"geom_contour","stat","contour"
"stat_contour","geom","contour"
"geom_count","stat","sum"
"stat_sum","geom","point"
"geom_segment,geom_curve","lineend","butt"
"geom_density","stat","density"
"stat_density","geom","area"
"geom_density2d,geom_density_2d","stat","density2d"
"geom_density2d,geom_density_2d,stat_density_2d,geom_dotplot,geom_errorbarh,geom_freqpoly,geom_hex,stat_bin_hex,geom_quantile,stat_quantile","position","identity"
"stat_density_2d","geom","density_2d"
"geom_freqpoly,geom_histogram","stat","bin"
"geom_hex","stat","binhex"
"stat_bin_hex","geom","hex"
"geom_jitter","position","jitter"
"geom_jitter,geom_map,geom_raster,geom_rect,geom_tile,geom_rug,geom_spoke","stat","identity"
"stat_qq,geom_qq","geom","point"
"geom_quantile","stat","quantile"
"stat_quantile","geom","quantile"
"geom_raster,geom_rect,geom_tile,geom_rug,stat_smooth,geom_spoke","position","identity"
"geom_violin","stat","ydensity"
"stat_ydensity","geom","violin"
