"geom","setting","input","value","quoted","placeholder"
"geom_contour","lineend","select","round,butt,square",TRUE,""
"geom_path,geom_contour,geom_density2d,geom_density_2d,geom_quantile,stat_quantile","linejoin","select","round,mitre,bevel",TRUE,""
"geom_path,geom_contour,geom_denisty2d,geom_density_2d,geom_quantile","linemitre","numeric","1",FALSE,""
"geom_path,geom_segment,geom_curve","arrow","text","",FALSE,"arrow()"
"geom_step","direction","select","hv,vh",TRUE,""
"geom_smooth,stat_smooth","method","select","auto,lm,glm,gam,loess,rlm",TRUE,""
"geom_smooth,stat_smooth","formula","text","y~x",FALSE,""
"geom_smooth,stat_smooth","se","checkbox","TRUE",FALSE,""
"facet_wrap,facet_grid","scales","select","fixed,free_x,free_y,free",TRUE,NA
"facet_wrap","nrow,ncol","text","",FALSE,"NULL"
"facet_grid","space","select","fixed,free_x,free_y,free",TRUE,""
"facet_grid","margins","checkbox","FALSE",FALSE,NA
"facet_wrap","labeller","select","label_value,label_both,label_context,label_parsed,label_wrap_gen(),label_bquote()",FALSE,""
"geom_text,geom_label","parse","checkbox","FALSE",FALSE,""
"geom_text,geom_label","nudge_x","numeric","0",FALSE,""
"geom_text,geom_label","nudge_y","numeric","0",FALSE,""
"geom_text","check_overlap","checkbox","FALSE",FALSE,""
"stat_bin_2d,geom_contour,geom_hex,stat_bin_hex","bins","text","30",FALSE,""
"geom_bin2d,stat_bin_2d,geom_contour,geom_histogram,stat_bin,geom_freqpoly","binwidth","text","",FALSE,""
"geom_bar,geom_col,stat_count","width","text","",FALSE,""
"geom_boxplot","outlier.colour","text","",TRUE,""
"geom_boxplot","outlier.fill","text","",TRUE,""
"geom_boxplot","outlier.shape","numeric","19",FALSE,""
"geom_boxplot","outlier.size","numeric","1.5",FALSE,""
"geom_boxplot","outlier.stroke","numeric","0.5",FALSE,""
"geom_boxplot","outlier.alpha","numeric","1",FALSE,""
"geom_boxplot","notch","checkbox","FALSE",FALSE,""
"geom_boxplot","notchwidth","numeric","0.5",FALSE,""
"geom_boxplot","varwidth","checkbox","FALSE",FALSE,""
"geom_crossbar","fatten","numeric","2.5",FALSE,""
"geom_pointrange","fatten","numeric","4",FALSE,""
"geom_segment,geom_curve,geom_density_2d,geom_density2d,geom_path,geom_quantile,stat_quantile","lineend","select","butt,round,square",TRUE,""
"geom_curve","curvature","numeric","0.5",FALSE,""
"geom_curve","angle","numeric","90",FALSE,""
"geom_curve","ncp","numeric","5",FALSE,""
"stat_density,geom_density,geom_violin,stat_ydensity","bw","select","nrd0,nrd,ucv,bcv,SJ",TRUE,""
"stat_density,geom_density,geom_violin,stat_ydensity","adjust","numeric","1",FALSE,""
"stat_density,geom_density,geom_violin,stat_ydensity","kernel","select","gaussian,epanechnikov,rectangular,triangular,biweight,cosine,optcosine",TRUE,""
"stat_density,geom_density","n","numeric","512",FALSE,""
"geom_density,stat_density","trim","checkbox","FALSE",FALSE,""
"stat_density_2d","contour","checkbox","TRUE",FALSE,""
"stat_density_2d","n","numeric","100",FALSE,""
"stat_density_2d","h","text","",FALSE,""
"geom_dotplot,geom_hex,stat_bin_hex","binwidth","text","",FALSE,""
"geom_dotplot","binaxis","select","x,y",TRUE,""
"geom_dotplot","method","select","dotdensity,histodot",TRUE,""
"geom_dotplot","binpositions","select","bygroup,all",TRUE,""
"geom_dotplot","stackdir","select","up,down,center,centerwhole",TRUE,""
"geom_dotplot","stackratio","numeric","1",FALSE,""
"geom_dotplot","dotsize","numeric","1",FALSE,""
"geom_dotplot","stackgroups","checkbox","FALSE",FALSE,""
"geom_dotplot","origin","text","",FALSE,""
"geom_dotplot","right","checkbox","TRUE",FALSE,""
"geom_dotplot","width","numeric","0.9",FALSE,""
"stat_bin,geom_freqpoly,geom_histogram","bins","text","",FALSE,""
"stat_bin,geom_freqpoly,geom_histogram","center","text","",FALSE,""
"stat_bin,geom_freqpoly,geom_histogram","boundary","text","",FALSE,""
"stat_bin,geom_freqpoly,geom_histogram","breaks","text","",FALSE,""
"stat_bin,geom_freqpoly,geom_histogram","closed","select","right,left",TRUE,""
"stat_bin,geom_freqpoly,geom_histogram","pad","checkbox","FALSE",FALSE,""
"geom_jitter","width","numeric","0.4",FALSE,""
"geom_jitter","height","numeric","0.4",FALSE,""
"geom_label","label.padding","text","unit(0.25, ""lines"")",FALSE,"unit(0.25, ""lines"")"
"geom_label","label.r","text","unit(0.15, ""lines"")",FALSE,"unit(0.15, ""lines"")"
"geom_label","label.size","numeric","0.25",FALSE,""
"geom_map","map","text","",FALSE,""
"geom_qq,stat_qq","distribution","text","stats::qnorm",FALSE,""
"geom_qq,stat_qq","dparam","text","list()",FALSE,""
"stat_quantile,geom_quantile","quantiles","text","c(0.25,0.5,0.75)",FALSE,""
"stat_quantile,geom_quantile","formula","text","",FALSE,""
"stat_quantile,geom_quantile","method","select","rq,rqss",TRUE,""
"stat_quantile,geom_quantile","method.args","text","list()",FALSE,""
"geom_raster","hjust","numeric","0.5",FALSE,""
"geom_raster","vjust","numeric","0.5",FALSE,""
"geom_raster","interpolate","checkbox","FALSE",FALSE,""
"geom_rug","sides","text","bl",TRUE,""
"stat_smooth,geom_smooth","n","numeric","80",FALSE,""
"stat_smooth,geom_smooth","span","numeric","0.75",FALSE,""
"stat_smooth,geom_smooth","fullrange","checkbox","FALSE",FALSE,""
"stat_smooth,geom_smooth","level","numeric","0.95",FALSE,""
"stat_smooth,geom_smooth","method.args","text","list()",FALSE,""
"geom_violin,stat_ydensity","draw_quantiles","text","",FALSE,""
"geom_violin,stat_ydensity","trim","checkbox","TRUE",FALSE,""
"geom_violin,stat_ydensity","scale","select","area,count,width",TRUE,""
"guide_legend,guide_colorbar","title","text","",TRUE,"waiver()"
"guide_legend,guide_colorbar","title.position","select",",top,bottom,left,right",TRUE,""
"guide_legend,guide_colorbar","title.theme","text","",FALSE,"element_text()"
"guide_legend,guide_colorbar","title.hjust","text","",FALSE,""
"guide_legend,guide_colorbar","title.vjust","text","",FALSE,""
"guide_legend,guide_colorbar","label","checkbox","TRUE",FALSE,""
"guide_legend,guide_colorbar","label.position","select",",top,bottom,left,right",TRUE,""
"guide_legend,guide_colorbar","label.theme","text","",FALSE,"element_text()"
"guide_legend,guide_colorbar","label.hjust","text","",FALSE,""
"guide_legend,guide_colorbar","label.vjust","text","",FALSE,""
"<<<<<<< HEAD","","","",NA,""
"guide_legend","keywidth","text","",FALSE,"A numeric or a unit() object"
"guide_legend","keyheight","text","",FALSE,"A numeric or a unit() object"
"=======","","","",NA,""
">>>>>>> 911378438e589cebd0bfb14b730ef66d38ebdbeb","","","",NA,""
"guide_legend,guide_colorbar","direction","select",",horizontal,vertical",TRUE,""
"guide_legend,guide_colorbar","default.unit","select","line,npc,cm,inches,mm,points,picas,bigpts,dida,cicero,scaledpts,lines,char,native,snpc,strwidth,strheight,grobwidth,grobheight",TRUE,""
"guide_legend","override.aes","text","list()",FALSE,""
"guide_legend","nrow","text","",FALSE,""
"guide_legend","ncol","text","",FALSE,""
"guide_legend","byrow","checkbox","FALSE",FALSE,""
"guide_legend,guide_colorbar","reverse","checkbox","FALSE",FALSE,""
"guide_legend,guide_colorbar","order","text","0",FALSE,""
"guide_colorbar","barwidth","text","",FALSE,"A numeric or a unit() object"
"guide_colorbar","barheight","text","",FALSE,"A numeric or a unit() object"
"guide_colorbar","nbin","numeric","20",FALSE,""
"guide_colorbar","raster","checkbox","TRUE",FALSE,""
"guide_colorbar","ticks","checkbox","TRUE",FALSE,""
"guide_colorbar","draw.ulim","checkbox","TRUE",FALSE,""
"guide_colorbar","draw.llim","checkbox","TRUE",FALSE,""
"scale_x_continuous,scale_y_continuous,scale_x_log10,scale_y_log10,scale_x_reverse,scale_y_reverse,scale_x_sqrt,scale_y_sqrt","name","text","",TRUE,"waiver()"
"scale_x_continuous,scale_y_continuous,scale_x_log10,scale_y_log10,scale_x_reverse,scale_y_reverse,scale_x_sqrt,scale_y_sqrt","breaks,minor_breaks,labels","text","",FALSE,"waiver()"
"scale_x_continuous,scale_y_continuous,scale_x_log10,scale_y_log10,scale_x_reverse,scale_y_reverse,scale_x_sqrt,scale_y_sqrt","limits","text","",FALSE,"NULL"
"scale_x_continuous,scale_y_continuous,scale_x_log10,scale_y_log10,scale_x_reverse,scale_y_reverse,scale_x_sqrt,scale_y_sqrt","expand","text","",FALSE,"waiver()"
"scale_x_continuous,scale_y_continuous,scale_x_log10,scale_y_log10,scale_x_reverse,scale_y_reverse,scale_x_sqrt,scale_y_sqrt","oob","text","censor",FALSE,""
"scale_x_continuous,scale_y_continuous,scale_x_log10,scale_y_log10,scale_x_reverse,scale_y_reverse,scale_x_sqrt,scale_y_sqrt","na.value","text","NA_real_",FALSE,""
"scale_x_continuous,scale_y_continuous,scale_x_continuous,scale_y_continuous,scale_x_reverse,scale_y_reverse,scale_radius,scale_size","trans","select","identity,asn,atanh,boxcox,exp,log,log10,log1p,log2,logit,probability,probit,reciprocal,reverse,sqrt",TRUE,""
"scale_x_continuous,scale_x_log10,scale_x_reverse,scale_x_sqrt","position","select","bottom,top",TRUE,""
"scale_y_continuous,scale_y_log10,scale_y_reverse,scale_y_sqrt","position","select","left,right",TRUE,""
"scale_x_continuous,scale_y_continuous,scale_x_log10,scale_y_log10,scale_x_reverse,scale_y_reverse,scale_x_sqrt,scale_y_sqrt","sec.axis","text","",FALSE,"waiver()"
"scale_colour_brewer,scale_fill_brewer,scale_colour_distiller,scale_fill_distiller","type","select","seq,div,qual",TRUE,""
"scale_colour_brewer,scale_fill_brewer,scale_colour_distiller,scale_fill_distiller","palette","select","1,BrBG,PiYG,PRGn,PuOr,RdBu,RdGy,RdYlBu,RdYlGn,Spectral,Accent,Dark2,Paired,Pastel1,Pastel2,Set1,Set2,Set3,Blues,BuGn,BuPu,GnBu,Greens,Greys,Oranges,OrRd,PuBu,PuBuGn,PuRd,Purples,RdPu,Reds,YlGn,YlGnBu,YlOrBr,YlOrRd",TRUE,""
"scale_colour_brewer,scale_fill_brewer","direction","text","1",FALSE,""
"scale_colour_distiller,scale_fill_distiller","direction","text","-1",FALSE,""
"scale_colour_distiller,scale_fill_distiller","values","text","",FALSE,"NULL"
"scale_colour_distiller,scale_fill_distiller","space","text","Lab",TRUE,""
"scale_colour_distiller,scale_fill_distiller","na.values","text","grey50",TRUE,""
"scale_colour_distiller,scale_fill_distiller","guide","select","colourbar,legend",TRUE,""
"scale_colour_grey,scale_fill_grey","start","text","0.2",FALSE,""
"scale_colour_grey,scale_fill_grey","end","text","0.8",FALSE,""
