"group","setting","input","value","quoted","placeholder"
"all","line","select","element_line(),element_blank()",FALSE,""
"all","rect","select","element_rect(),element_blank()",FALSE,""
"all","text,title","select","element_text(),element_blank()",FALSE,""
"all","aspect.ratio","text","",FALSE,""
"axis","axis.title,axis.title.x,axis.title.x.top,axis.title.x.bottom,axis.title.y,axis.title.y.left,axis.title.y.right,axis.text,axis.text.x,axis.text.x.top,axis.text.x.bottom,axis.text.y,axis.text.y.left,axis.text.y.right","select","element_text(),element_blank()",FALSE,""
"axis","axis.ticks,axis.ticks.x,axis.ticks.x.top,axis.ticks.x.bottom,axis.ticks.y,axis.ticks.y.left,axis.ticks.y.right","select","element_line(),element_blank()",FALSE,""
"axis","axis.ticks.length","text","unit()",FALSE,""
"axis","axis.line,axis.line.x,axis.line.x.top,axis.line.x.bottom,axis.line.y,axis.line.y.left,axis.line.yright","select","element_line(),element_blank()",FALSE,""
"legend","legend.background","select","element_rect(),element_blank()",FALSE,""
"legend","legend.margin","text","margin()",FALSE,""
"legend","legend.spacing,legend.spacing.x,legend.spacing.y","text","unit()",FALSE,""
"legend","legend.key","select","element_rect(),element_blank()",FALSE,""
"legend","legend.key.size,legend.key.height,legend.key.width","text","unit()",FALSE,""
"legend","legend.text","select","element_text(),element_blank()",FALSE,""
"legend","legend.text.align","text","",FALSE,"alignment of legend labels (number from 0 (left) to 1 (right))"
"legend","legend.title","select","element_text(),element_blank()",FALSE,""
"legend","legend.title.align","text","",FALSE,"alignment of legend title (number from 0 (left) to 1 (right))"
"legend","legend.position","select",",right,bottom,left,top,none",TRUE,""
"legend","legend.direction","select","horizontal,vertical",TRUE,""
"legend","legend.justification","text","",FALSE,""
"legend","legend.box","select","horizontal,vertical",TRUE,""
"legend","legend.box.just","select","top,bottom,left,right",TRUE,""
"legend","legend.box.margin","text","margin()",FALSE,""
"legend","legend.box.background","select","element_rect(),element_blank()",FALSE,""
"legend","legend.box.spacing","text","unit()",FALSE,""
"panel","panel.background","select","element_rect(),element_blank()",FALSE,""
"panel","panel.spacing,panel.spacing.x,panel.spacing.y","text","unit()",FALSE,""
"panel","panel.grid,panel.grid.major,panel.grid.minor,panel.grid.major.x,panel.grid.major.y,panel.grid.minor.x,panel.grid.minor.y","select","element_line(),element_blank()",FALSE,""
"panel","panel.ontop","checkbox","TRUE",FALSE,""
"plot","plot.background","select","element_rect(),element_blank()",FALSE,""
"plot","plot.title,plot.subtitle,plot.caption","select","element_text(),element_blank()",FALSE,""
"plot","plot.margin","text","margin()",FALSE,""
"strip","strip.background","select","element_rect(),element_blank()",FALSE,""
"strip","strip.placement","select","inside,outside",TRUE,""
"strip","strip.text,strip.text.x,strip.text.y","select","element_text(),element_blank()",FALSE,""
"strip","strip.switch.pad.grid,strip.switch.pad.wrap","text","unit()",FALSE,""
"etc","complete","checkbox","FALSE",FALSE,""
"etc","validate","checkbox","TRUE",FALSE,""
